Season,Team,Name,Avg,On-base %,Slug %,OPS,H,AB,R,HR,RBI,1B,2B,3B,BB,K,SB,CS,Sac-Bunt,GIDP
2002,Shasta,Garciaparra,0.356,0.415,0.610,1.026,21,59,8,2,13,10,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Giambi (OJO),0.241,0.333,0.276,0.609,7,29,2,,5,6,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Giles,0.281,0.343,0.531,0.874,9,32,6,1,5,3,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Giles,0.103,0.286,0.282,0.568,4,39,4,2,4,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Gonzalez,0.244,0.358,0.289,0.647,22,90,8,1,5,20,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Goodwin,0.250,0.250,0.250,0.500,1,4,9,,,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Grace,0.333,0.433,0.490,0.924,17,51,7,1,9,11,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Green,0.333,0.398,0.559,0.957,34,102,16,4,15,19,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Guerrero,0.290,0.350,0.589,0.939,31,107,15,7,23,13,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Helton,0.304,0.466,0.532,0.998,24,79,15,5,16,16,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Higginson,0.306,0.372,0.482,0.855,26,85,10,1,11,16,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,I. Rodriguez,0.287,0.343,0.351,0.694,27,94,4,1,2,23,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Izturis,0.000,0.000,0.000,0.000,0,2,,,,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,J. Gonzalez,0.337,0.362,0.574,0.936,34,101,8,6,25,22,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Ja. Giambi,0.278,0.425,0.489,0.914,25,90,11,5,17,16,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Je. Giambi,0.231,0.318,0.231,0.549,9,39,2,0,3,9,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Jeter,0.200,0.200,0.333,0.533,3,15,2,,,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Jeter (OJO),0.238,0.273,0.333,0.606,5,21,3,0,2,3,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Johnson,0.165,0.220,0.235,0.455,14,85,7,0,1,8,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Jones,0.226,0.301,0.381,0.682,19,84,8,3,14,12,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Jordan,0.216,0.237,0.270,0.507,8,37,4,0,5,6,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Kapler,0.200,0.273,0.200,0.473,2,10,1,,1,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Kent,0.296,0.373,0.510,0.883,29,98,14,4,13,16,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Koskie,0.306,0.380,0.528,0.908,33,108,15,5,19,19,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,L. Gonzalez,0.367,0.446,0.816,1.263,36,98,18,11,32,14,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Larkin,0.299,0.396,0.425,0.821,26,87,11,0,10,15,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,LaRue,0.191,0.217,0.360,0.577,17,89,10,3,7,8,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Lawton,0.375,0.516,0.792,1.308,9,24,7,2,5,3,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Lee,0.198,0.238,0.271,0.508,19,96,7,1,6,14,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Lofton,0.341,0.420,0.534,0.954,30,88,18,1,6,18,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Long,0.216,0.255,0.309,0.564,21,97,12,2,6,16,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Lowell,0.289,0.337,0.402,0.739,28,97,7,1,10,19,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Lugo,0.161,0.212,0.161,0.373,5,31,1,,2,5,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,M. Ramirez,0.215,0.318,0.355,0.673,20,93,8,2,7,11,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,M. Tucker (RNO),0.298,0.410,0.417,0.827,25,84,17,1,8,18,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Martinez,0.247,0.396,0.286,0.682,19,77,3,0,5,16,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Matheny,0.667,0.667,0.667,1.333,2,3,1,0,0,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Mayne,0.200,0.429,0.200,0.629,1,5,,,,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,McLemore,0.071,0.071,0.071,0.143,1,14,9,0,0,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Mueller,0.125,0.300,0.125,0.425,1,8,,,,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Olerud,0.200,0.290,0.284,0.574,19,95,5,1,13,13,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Ordonez,0.266,0.349,0.511,0.860,25,94,13,5,14,12,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Owens,0.250,0.400,0.750,1.150,1,4,5,0,0,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Perez,0.169,0.198,0.193,0.390,14,83,9,0,6,12,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Piazza,0.298,0.359,0.489,0.849,28,94,12,4,12,18,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Pierre,0.210,0.269,0.280,0.549,21,100,13,0,9,15,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Polanco,0.216,0.256,0.243,0.500,8,37,5,0,1,7,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Polanco (SH),0.250,0.250,0.250,0.500,3,12,3,,,3,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Posada ,0.324,0.378,0.706,1.084,11,34,7,3,8,4,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Reese,#DIV/0!,1.000,#DIV/0!,#DIV/0!,,,1,,,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Relaford (BLD),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Renteria (BLD),0.250,0.351,0.344,0.695,8,32,2,0,1,5,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Rodriguez,0.347,0.439,0.673,1.112,34,98,23,8,18,18,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Rolen,0.357,0.438,0.429,0.866,5,14,1,0,1,4,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Rollins,0.111,0.158,0.139,0.297,4,36,3,,2,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Rowand,0.125,0.300,0.125,0.425,4,32,5,0,1,4,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Segui,0.278,0.386,0.402,0.788,27,97,8,2,13,19,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Sexson,0.277,0.327,0.649,0.976,26,94,16,11,20,13,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Sheffield (BLD),0.273,0.385,0.545,0.930,3,11,2,1,3,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Sheffield (MCX),0.194,0.341,0.306,0.646,7,36,5,1,2,5,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Shumpert,0.300,0.300,0.600,0.900,3,10,4,0,1,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Singleton,0.253,0.309,0.333,0.642,19,75,13,0,5,14,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Sosa,0.245,0.357,0.582,0.938,24,98,17,10,23,11,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Stairs,0.351,0.432,0.670,1.103,34,97,18,6,29,15,13,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Stewart,0.312,0.348,0.404,0.751,34,109,15,0,9,25,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Tejada,0.088,0.184,0.176,0.361,3,34,2,1,2,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Thome,0.280,0.410,0.549,0.959,23,82,13,6,14,13,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Tucker (MXC),0.000,0.000,0.000,0.000,0,8,,,,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Tyner ,0.000,0.000,0.000,0.000,0,2,5,0,0,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Vaughn (OJO),0.254,0.383,0.478,0.860,17,67,9,4,15,10,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Vaughn (SS),0.152,0.152,0.273,0.424,5,33,1,1,5,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Vidro,0.265,0.299,0.363,0.662,27,102,13,1,11,19,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Vina,0.282,0.315,0.408,0.723,29,103,15,1,8,20,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Vizquel (OJO),0.266,0.326,0.494,0.819,21,79,13,1,6,10,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Walker,0.305,0.359,0.373,0.732,18,59,1,0,3,14,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Wilson,0.214,0.241,0.286,0.527,12,56,3,1,5,10,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Zaun,0.340,0.394,0.560,0.954,34,100,13,4,14,20,10,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2000,Alameda,Castillo,0.286,0.375,0.375,0.750,16,56,11,0,4,12,3,1,8,12,1,1,,
2000,Alameda,Chavez,0.280,0.368,0.380,0.748,14,50,2,1,7,11,2,,7,14,,,3,
2000,Alameda,Ichiro,0.464,0.500,0.571,1.071,13,28,7,0,1,11,1,1,2,3,4,3,,
2000,Alameda,Izturis,0.000,0.000,0.000,0.000,0,1,,,,,,,,,,,,
2000,Alameda,Jones,0.228,0.290,0.456,0.746,13,57,9,3,10,6,4,,5,10,,,,
2000,Alameda,Lee,,1.000,,1.000,,,,,,,,,1,,,,,
2000,Alameda,McGriff,0.258,0.343,0.323,0.665,8,31,2,0,2,6,2,,4,8,,,,
2000,Alameda,Palmeiro,0.235,0.381,0.235,0.616,4,17,1,0,1,4,,,4,2,,,,
2000,Alameda,Pujols,0.370,0.443,0.593,1.035,20,54,8,3,11,14,3,,7,8,,,1,
2000,Alameda,Sheffield,0.267,0.313,0.267,0.579,8,30,4,0,4,8,,,2,4,,,,
2000,Alameda,Sosa,0.224,0.397,0.633,1.029,11,49,9,6,13,3,2,,14,15,0,1,,
2000,Alameda,Vizquel,0.292,0.370,0.354,0.725,14,48,6,1,6,13,,,6,7,5,0,,
2000,Alameda,W. Gonzalez,0.191,0.283,0.255,0.538,9,47,4,1,3,8,,,6,11,,,4,
2001,Alameda,A. Jones,0.161,0.235,0.258,0.493,5,31,4,0,0,2,3,,3,9,1,0,,1
2001,Alameda,Abreu,0.182,0.182,0.273,0.455,2,11,1,,,1,1,,0,5,1,0,,1
2001,Alameda,Boone,0.235,0.270,0.341,0.611,20,85,10,2,14,15,3,,4,19,,,1,4
2001,Alameda,Castillo,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,1,,,0,,,,,,,,
2001,Alameda,Conine,0.267,0.397,0.433,0.831,16,60,6,3,11,12,1,,13,17,,,1,3
2001,Alameda,Damon,0.245,0.286,0.358,0.644,13,53,7,0,7,8,4,1,3,9,2,0,1,3
2001,Alameda,Ichiro,0.429,0.475,0.670,1.145,39,91,19,0,10,23,10,6,8,10,12,3,,1
2001,Alameda,Lo Duca,0.206,0.341,0.397,0.739,14,68,8,3,10,7,4,,14,12,,,2,3
2001,Alameda,McGriff,0.333,0.418,0.507,0.925,23,69,9,3,6,17,3,,10,13,,,,7
2001,Alameda,Pujols,0.333,0.411,0.655,1.065,28,84,16,5,14,11,12,,11,18,,,,2
2001,Alameda,Sosa,0.270,0.413,0.676,1.089,20,74,11,9,22,8,3,,18,19,,,,2
2001,Alameda,Vizquel,0.243,0.321,0.329,0.649,17,70,7,0,5,12,4,1,8,16,1,4,2,2
2002,Alameda,Abreau,0.375,0.412,0.500,0.912,6,16,2,0,2,4,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Castillo (ALA),0.315,0.396,0.404,0.801,28,89,10,0,7,23,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Cordova,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Damon,0.190,0.209,0.214,0.424,8,42,4,0,2,7,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Ichiro,0.303,0.320,0.420,0.740,36,119,16,0,14,27,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Klesko,0.364,0.452,0.596,1.048,36,99,24,5,17,23,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Lo Duca,0.233,0.295,0.544,0.838,24,103,13,9,15,10,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Pujols,0.304,0.377,0.490,0.867,31,102,15,3,17,18,10,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Relaford (ALA),0.194,0.265,0.194,0.458,6,31,3,0,1,6,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Renteria (ALA),0.333,0.441,0.404,0.845,19,57,9,0,5,15,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Sierra,0.414,0.452,0.851,1.302,36,87,20,8,23,14,14,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Thomas,0.438,0.500,0.875,1.375,7,16,3,2,6,4,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Alameda,Williams,0.288,0.373,0.508,0.882,17,59,12,4,14,12,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2003,Fresno,Adames,0.269,0.406,0.385,0.791,7,26,2,1,2,6,0,0,6,8,0,0,0,1
2003,Alameda,Arozarena,0.231,0.231,0.538,0.769,6,26,2,1,5,0,5,0,0,8,0,0,0,0
2003,MXC,Ausmus,0.294,0.294,0.559,0.853,10,34,0,2,4,5,3,0,0,6,0,1,2,2
2003,Reno,B. Boone,0.433,0.485,0.667,1.152,13,30,4,2,7,10,1,0,3,4,0,0,0,0
2003,Reno,Bagwell,0.276,0.382,0.448,0.831,8,29,2,1,5,5,2,0,5,7,0,0,0,1
2003,Barstow,Beltran,0.313,0.371,0.500,0.871,10,32,6,1,2,7,1,1,3,4,4,0,0,0
2003,Barstow,Betts,0.241,0.290,0.276,0.566,7,29,1,0,1,6,1,0,2,6,0,0,0,1
2003,Reno,Cabrera,0.138,0.242,0.172,0.415,4,29,1,0,1,3,1,0,4,8,0,0,0,1
2003,Fresno,Carrol,0.258,0.361,0.516,0.877,8,31,3,1,6,3,3,1,5,12,2,2,0,0
2003,Alameda,Castillo (ALA),0.286,0.348,0.333,0.681,6,21,2,0,2,5,1,0,2,1,4,0,0,1
2003,Reno,Cedeno (RNO),0.314,0.351,0.371,0.723,11,35,2,0,4,9,2,0,2,7,3,4,0,0
2003,Reno,Chapman,0.172,0.273,0.207,0.480,5,29,1,0,1,4,1,0,4,12,0,0,0,1
2003,Barstow,Chavez,0.233,0.258,0.333,0.591,7,30,3,1,9,6,0,0,1,8,0,0,0,1
2003,Fresno,Cirillo,0.333,0.371,0.424,0.796,11,33,3,0,0,8,3,0,2,7,1,0,0,2
2003,MXC,Counsell,0.406,0.472,0.500,0.972,13,32,5,0,4,10,3,0,4,3,0,1,1,0
2003,Sparks,Crede,0.261,0.320,0.435,0.755,6,23,1,1,7,4,1,0,2,6,0,0,1,1
2003,Barstow,Diaz,0.267,0.313,0.333,0.646,8,30,3,0,3,6,2,0,2,3,0,0,0,0
2003,Reno,Drew,0.308,0.500,0.423,0.923,8,26,4,0,1,5,3,0,10,7,3,4,0,0
2003,Sparks,Eric Young,0.241,0.290,0.310,0.601,7,29,4,0,3,5,2,0,2,6,4,0,0,0
2003,Fresno,Floyd,0.156,0.250,0.250,0.500,5,32,0,0,1,2,3,0,4,12,1,0,0,1
2003,Reno,Friedl,0.296,0.387,0.667,1.054,8,27,5,3,8,4,1,0,4,7,1,0,1,1
2003,MXC,Giles,0.500,0.600,1.000,1.600,4,8,2,1,2,2,1,0,2,2,0,0,0,0
2003,Fresno,Goodwin,0.000,0.333,0.000,0.333,0,2,3,0,0,0,0,0,1,0,5,1,0,0
2003,Sparks,gunnar  ,0.321,0.387,0.714,1.101,9,28,7,3,6,4,2,0,3,13,1,1,0,0
2003,Barstow,Higginson,0.394,0.459,0.667,1.126,13,33,8,2,5,8,3,0,4,4,0,2,0,2
2003,Alameda,Ichiro,0.276,0.300,0.483,0.783,8,29,6,0,2,5,0,3,1,7,2,0,0,0
2003,Barstow,J. Gonzalez,0.344,0.400,0.719,1.119,11,32,4,2,6,3,6,0,3,5,0,0,0,2
2003,Fresno,Johnson,0.080,0.148,0.080,0.228,2,25,1,0,0,2,0,0,2,9,0,0,1,1
2003,MXC,Jordan,1.000,1.000,0.000,1.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,Fresno,Kent,0.310,0.429,0.828,1.256,9,29,6,4,9,2,3,0,6,7,0,0,0,1
2003,Alameda,Klesko,0.440,0.517,0.840,1.357,11,25,9,2,7,5,4,0,4,6,1,1,0,0
2003,Sparks,L. Gonzalez,0.385,0.467,0.846,1.313,10,26,4,3,8,4,3,0,4,5,0,0,0,0
2003,MXC,Larkin,0.143,0.351,0.214,0.566,4,28,6,0,1,2,2,0,9,2,0,0,1,1
2003,MXC,Lawton,0.308,0.386,0.359,0.745,12,39,4,0,4,10,2,0,5,6,0,0,0,0
2003,Alameda,Lo Duca,0.192,0.250,0.308,0.558,5,26,4,1,6,4,0,0,2,2,0,0,0,2
2003,MXC,Lofton,0.200,0.263,0.400,0.663,7,35,4,1,7,2,4,0,3,2,1,0,0,1
2003,Sparks,Long,0.160,0.192,0.320,0.512,4,25,3,1,3,2,1,0,1,4,0,0,0,0
2003,Sparks,M. Ramirez,0.136,0.345,0.227,0.572,3,22,4,0,1,1,2,0,7,12,0,0,0,0
2003,Reno,M. Tucker (RNO),0.107,0.219,0.214,0.433,3,28,3,0,1,1,1,1,4,11,2,1,0,0
2003,MXC,Machado,0.361,0.410,0.861,1.271,13,36,8,4,10,3,6,0,3,5,1,0,0,1
2003,Fresno,Mayne,0.333,0.333,0.333,0.667,1,3,0,0,0,1,0,0,0,0,0,0,0,1
2003,Sparks,McLemore,0.000,0.000,0.000,0.000,0,2,1,0,0,0,0,0,0,0,1,2,0,0
2003,Barstow,Pierre,0.371,0.421,0.457,0.878,13,35,7,0,2,10,3,0,3,6,4,0,0,0
2003,Reno,Pudge,0.290,0.333,0.323,0.656,9,31,3,0,0,8,1,0,2,12,0,0,0,0
2003,Alameda,Pujols,0.320,0.370,0.760,1.130,8,25,8,3,6,3,2,0,2,4,0,0,0,3
2003,Alameda,Renteria (ALA),0.400,0.500,0.550,1.050,8,20,2,0,0,5,3,0,4,3,0,0,0,2
2003,Sparks,Sexson,0.292,0.393,0.625,1.018,7,24,4,2,4,3,2,0,4,9,0,0,0,1
2003,Barstow,Sheffield (BLD),1.000,1.000,1.000,2.000,1,1,,,,1,,,,,,,,
2003,Alameda,Sierra,0.360,0.385,0.520,0.905,9,25,3,1,5,7,1,0,1,4,0,0,0,1
2003,MXC,Singleton,0.238,0.238,0.286,0.524,5,21,4,0,2,4,1,0,0,7,1,0,0,0
2003,Fresno,Sosa,0.207,0.361,0.448,0.809,6,29,4,2,3,3,1,0,7,10,0,0,0,1
2003,MXC,Stairs,0.152,0.263,0.273,0.536,5,33,6,1,2,3,1,0,5,10,0,1,0,2
2003,Sparks,Sweeney,0.308,0.379,0.423,0.802,8,26,2,0,1,5,3,0,3,6,0,0,0,1
2003,MXC,Tatis,0.237,0.310,0.316,0.625,9,38,4,1,7,8,0,0,4,8,2,2,0,1
2003,Barstow,Thome,0.367,0.486,0.800,1.286,11,30,9,4,10,6,1,0,7,5,0,0,0,2
2003,Barstow,Vina,0.143,0.226,0.250,0.476,4,28,3,0,6,2,1,1,3,5,0,0,1,1
2003,Fresno,Wade Jr,0.115,0.281,0.231,0.512,3,26,1,1,2,2,0,0,6,9,0,0,1,1
2003,Fresno,White,0.143,0.250,0.143,0.393,4,28,0,0,0,4,0,0,4,11,0,0,0,0
2003,Alameda,Williams,0.435,0.480,0.913,1.393,10,23,4,3,7,5,2,0,2,6,0,0,0,1
2003,Sparks,Zaun,0.308,0.357,0.385,0.742,8,26,4,0,1,6,2,0,2,2,0,0,1,1